Categoria;Palabra;Pc;Ptc;Apariciones
Comedia;cómico;0.21505376344086022;0.010666666666666666;3
Misterio;cómico;0.21505376344086022;0.0027397260273972603;0
Infantil;cómico;0.21505376344086022;0.0024096385542168677;0
Romantica;cómico;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;cómico;0.21505376344086022;0.001834862385321101;0
Comedia;cómica;0.21505376344086022;0.048;17
Misterio;cómica;0.21505376344086022;0.0027397260273972603;0
Infantil;cómica;0.21505376344086022;0.004819277108433735;1
Romantica;cómica;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;cómica;0.21505376344086022;0.001834862385321101;0
Comedia;cómicos;0.21505376344086022;0.029333333333333333;10
Misterio;cómicos;0.21505376344086022;0.0027397260273972603;0
Infantil;cómicos;0.21505376344086022;0.0024096385542168677;0
Romantica;cómicos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;cómicos;0.21505376344086022;0.001834862385321101;0
Comedia;cómicas;0.21505376344086022;0.050666666666666665;18
Misterio;cómicas;0.21505376344086022;0.0027397260273972603;0
Infantil;cómicas;0.21505376344086022;0.004819277108433735;1
Romantica;cómicas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;cómicas;0.21505376344086022;0.001834862385321101;0
Comedia;risa;0.21505376344086022;0.032;11
Misterio;risa;0.21505376344086022;0.0027397260273972603;0
Infantil;risa;0.21505376344086022;0.0024096385542168677;0
Romantica;risa;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;risa;0.21505376344086022;0.001834862385321101;0
Comedia;risas;0.21505376344086022;0.02666666666666667;9
Misterio;risas;0.21505376344086022;0.0027397260273972603;0
Infantil;risas;0.21505376344086022;0.0024096385542168677;0
Romantica;risas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;risas;0.21505376344086022;0.001834862385321101;0
Comedia;comedia;0.21505376344086022;0.09866666666666667;36
Misterio;comedia;0.21505376344086022;0.0027397260273972603;0
Infantil;comedia;0.21505376344086022;0.0024096385542168677;0
Romantica;comedia;0.13978494623655913;0.022435897435897436;6
CienciaFiccion;comedia;0.21505376344086022;0.001834862385321101;0
Comedia;comedias;0.21505376344086022;0.0026666666666666666;0
Misterio;comedias;0.21505376344086022;0.0027397260273972603;0
Infantil;comedias;0.21505376344086022;0.0024096385542168677;0
Romantica;comedias;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;comedias;0.21505376344086022;0.001834862385321101;0
Comedia;humor;0.21505376344086022;0.09866666666666667;36
Misterio;humor;0.21505376344086022;0.00821917808219178;2
Infantil;humor;0.21505376344086022;0.012048192771084338;4
Romantica;humor;0.13978494623655913;0.009615384615384616;2
CienciaFiccion;humor;0.21505376344086022;0.003669724770642202;1
Comedia;peculiar;0.21505376344086022;0.013333333333333334;4
Misterio;peculiar;0.21505376344086022;0.010958904109589041;3
Infantil;peculiar;0.21505376344086022;0.004819277108433735;1
Romantica;peculiar;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;peculiar;0.21505376344086022;0.001834862385321101;0
Comedia;peculiares;0.21505376344086022;0.016;5
Misterio;peculiares;0.21505376344086022;0.0027397260273972603;0
Infantil;peculiares;0.21505376344086022;0.007228915662650603;2
Romantica;peculiares;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;peculiares;0.21505376344086022;0.001834862385321101;0
Comedia;surrealista;0.21505376344086022;0.005333333333333333;1
Misterio;surrealista;0.21505376344086022;0.0027397260273972603;0
Infantil;surrealista;0.21505376344086022;0.0024096385542168677;0
Romantica;surrealista;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;surrealista;0.21505376344086022;0.001834862385321101;0
Comedia;surrealistas;0.21505376344086022;0.013333333333333334;4
Misterio;surrealistas;0.21505376344086022;0.0027397260273972603;0
